X,Y,fid,Route ID,Station Nu,Latitude,Longitude,km,Municipali,Year,Direction,Directio_1,AADT,icon_url
-65.7939,18.1868,3208,PR-53 SB 25 OFF,DPR53SB25OFF,18.1868,-65.7939,"25.7",Humacao,2022,To PR-9927,To PR-53,"1,112",./0.png
-65.7939,18.254,3209,PR-9031,C00903100665,18.254,-65.7939,"7.1",Naguabo,2021,To End of Road,To PR-969,"97",./0.png
-65.7936,18.1896,3210,PR-927,C00092700230,18.1896,-65.7936,"2.6",Humacao,2021,To PR-938,To PR-9927,"2,166",./0.png
-65.7934,18.1859,3211,PR-53 NB 25 OFF,DPR53NB25OFF,18.1859,-65.7934,"26.1",Humacao,2022,To PR-9927,To PR-53,"817",./0.png
-65.7923,18.1872999999999,3212,PR-53 NB 25 ON,DPR53NB25ON,18.1873,-65.7923,"0",Humacao,2022,To PR-53,To PR-9927,"1,731",./0.png
-65.792,18.1707,3213,PR-925,C00092500000,18.1707,-65.792,"3.7",Humacao,2021,To PR-3 EB,To PR-3 WB,"1,216",./0.png
-65.7917,18.195,3214,PR-938,C00093800000,18.195,-65.7917,"0.4",Humacao,2021,To End of Road,To PR-927,"1,730",./0.png
-65.7899,18.2412,3215,PR-9031,C00903100250,18.2412,-65.7899,"3.4",Naguabo,2021,To End of Road,To PR-969,"434",./0.png
-65.7891,18.1927,3216,PR-927,C00092700320,18.1927,-65.7891,"3.3",Humacao,2021,To PR-53,To PR-938,"350",./0.png
-65.7873,18.2983,3217,PR-9938,C00993800000,18.2983,-65.7873,"0.05",Río Grande,2021,To PR-191 North,To PR-191 South,"68",./0.png
-65.7873,18.358,3218,PR-967,C00096700000,18.358,-65.7873,"4.7",Río Grande,2021,To PR-3,To PR-966,"999",./0.png
-65.7857,18.3548,3219,PR-966,C00096600210,18.3548,-65.7857,"2.3",Río Grande,2021,To PR-967,To End of Road,"1,545",./0.png
-65.7844,18.2246,3220,PR-9031,C00903100000,18.2246,-65.7844,"0.9",Naguabo,2021,To PR-969,To PR-31,"1,647",./0.png
-65.7826,18.3662,3221,PR-966,C00096600000,18.3662,-65.7826,"0.6",Río Grande,2021,To PR-955,To PR-967,"1,545",./0.png
-65.7799,18.1939,3222,PR-927,C00092700340,18.1939,-65.7799,"4.3",Humacao,2021,To PR-31,To PR-938,"342",./0.png
-65.7797,18.151,3223,PR-3,C00000307520,18.151,-65.7797,"76.7",Humacao,2021,To PR-192,To PR-925,"10,361",./0.png
-65.7796,18.2087,3224,PR-53,P53-NAG,18.2087,-65.7796,"22.9",Naguabo,2022,To PR-31,PR-9927,"19,341",./0.png
-65.7794,18.2157,3225,PR-31,D00003100610,18.2157,-65.7794,"8.4",Naguabo,2022,To PR-970,To PR-9031,"5,791",./0.png
-65.7741,18.2366,3226,PR-969,C00096900000,18.2366,-65.7741,"1.7",Naguabo,2021,To PR-9031,To PR-970,"457",./0.png
-65.7704,18.3706,3227,PR-191,C00019100000,18.3706,-65.7704,"0.2",Río Grande,2021,To PR-3,To PR-955,"1,684",./0.png
-65.7702,18.3635,3228,PR-191,C00019100040,18.3635,-65.7702,"1",Río Grande,2021,To PR-955,To PR-961,"3,465",./0.png
-65.7693,18.3722,3229,PR-3,C00000303055,18.3722,-65.7693,"31.7",Río Grande,2021,To PR-955,To PR-191,"34,410",./0.png
-65.7688,18.322,3230,PR-191,C00019100650,18.322,-65.7688,"7.7",Río Grande,2021,To PR-9966,To PR-930,"570",./0.png
-65.7672,18.3744,3231,PR-968,C00096800000,18.3744,-65.7672,"0.3",Río Grande,2021,To PR-955,To PR-3,"5,510",./0.png
-65.7669,18.3509,3232,PR-961,D00096100000,18.3509,-65.7669,"0.15",Río Grande,2022,To PR-191,To End of Road,"569",./0.png
-65.7668,18.3278,3233,PR-191,C00019100400,18.3278,-65.7668,"6.5",Río Grande,2021,To PR-988,To PR-9966,"583",./0.png
-65.7667,18.3521,3234,PR-191,C00019100150,18.3521,-65.7667,"2.4",Río Grande,2021,To PR-955,To PR-961,"1,717",./0.png
-65.7652,18.3785,3235,PR-968,C00096800060,18.3785,-65.7652,"0.9",Río Grande,2021,To PR-955,To PR-3,"5,680",./0.png
-65.7644,18.3722,3236,PR-3,C00000303100,18.3722,-65.7644,"32.1",Río Grande,2021,To PR-922,To PR-968,"34,915",./0.png
-65.7638,18.2158,3237,PR-53 NB 21 OFF,DPR53NB21OFF,18.2158,-65.7638,"20.95",Naguabo,2022,To PR-970,To PR-53,"992",./0.png
-65.7636,18.2165,3238,PR-53 SB 21 ON,DPR53SB21ON,18.2165,-65.7636,"0.6",Naguabo,2022,To PR-53,To PR-970,"1,410",./0.png
-65.7631,18.3708,3239,PR-992,C00099200680,18.3708,-65.7631,"0.3",Luquillo,2021,To PR-990,To PR-3,"2,508",./0.png
-65.7625,18.2154,3240,PR-53 NB 21 OFF SLIP SB,DPR53NB21OFFSLIPSB,18.2154,-65.7625,"0.4",Naguabo,2022,To PR-970,To PR-53,"276",./0.png
-65.7623,18.2169,3241,PR-970 SB 0.7 EXIT,DPR970SB0.7EXIT,18.2169,-65.7623,"0.6",Naguabo,2022,To PR-53,To PR-970,"518",./0.png
-65.7621,18.2154,3242,PR-970 NB 0.3 EXIT,DPR970NB0.3EXIT,18.2154,-65.7621,"0.4",Naguabo,2022,To PR-53,To PR-970,"59",./0.png
-65.7617,18.2121,3243,PR-970,D00097000000,18.2121,-65.7617,"0.05",Naguabo,2022,To PR-53,To PR-31,"955",./0.png
-65.7617,18.2171,3244,PR-53 SB 21 OFF SLIP NB,DPR53SB21OFFSLIPNB,18.2171,-65.7617,"0.6",Naguabo,2022,To PR-970,To PR-53,"743",./0.png
-65.7612,18.2194,3245,PR-970,D00097000060,18.2194,-65.7612,"0.9",Naguabo,2022,To PR-969,To PR-53,"2,504",./0.png
-65.7603,18.2165,3246,PR-53 SB 21 OFF,DPR53SB21OFF,18.2165,-65.7603,"20.6",Naguabo,2022,To PR-970,To PR-53,"668",./0.png
-65.76,18.3412,3247,PR-191,C00019100290,18.3412,-65.76,"4",Río Grande,2021,To PR-961,To PR-993,"1,202",./0.png
-65.7599,18.2159,3248,PR-53 NB 21 ON,DPR53NB21ON,18.2159,-65.7599,"0.4",Naguabo,2022,To PR-53,To PR-970,"883",./0.png
-65.7588,18.1579,3249,PR-3,C00000307320,18.1579,-65.7588,"74.1",Humacao,2021,To PR-192,To PR-925,"9,285",./0.png
-65.7588,18.2116,3250,PR-31,D00003100390,18.2116,-65.7588,"6.1",Naguabo,2022,To PR-192,To PR-970,"1,795",./0.png
-65.7574,18.3406,3251,PR-993,C00099300000,18.3406,-65.7574,"0.4",Río Grande,2021,To End of Road,To PR-191,"109",./0.png
-65.7555,18.2037,3252,PR-927,C00092700620,18.2037,-65.7555,"8.3",Naguabo,2021,To calle Quiñones,To PR-53,"438",./0.png
-65.7528,18.236,3253,PR-970,C00097000250,18.236,-65.7528,"4.4",Naguabo,2021,To PR-971,To PR-969,"201",./0.png
-65.7474,18.342,3254,PR-990,C00099000190,18.342,-65.7474,"2.5",Luquillo,2021,To PR-9991,To End of Road,"32",./0.png
-65.7466,18.2066,3255,PR-927,C00092700870,18.2066,-65.7466,"9.35",Naguabo,2021,To calle Quiñones,To PR-53,"449",./0.png
-65.746,18.3795,3256,PR-3,C00000303320,18.3795,-65.746,"34.3",Luquillo,2021,To PR-193,To PR-992,"33,658",./0.png
-65.7446,18.3406,3257,PR-9991,C00999100000,18.3406,-65.7446,"0.1",Luquillo,2021,To PR-990,To PR-9990,"119",./0.png
-65.7444,18.3421,3258,PR-990,C00099000000,18.3421,-65.7444,"0.2",Luquillo,2021,To PR-992,To PR-9991,"177",./0.png
-65.7422,18.2357,3259,PR-970,C00097000560,18.2357,-65.7422,"5.75",Naguabo,2021,To PR-971,To PR-969,"497",./0.png
-65.7421,18.3381000000001,3260,PR-9991,D00999100035,18.3381,-65.7421,"0.5",Luquillo,2022,To PR-990,To PR-9990,"101",./0.png
-65.7415,18.217,3261,PR-53 SB 18 ON,DPR53SB18ON,18.217,-65.7415,"0.4",Naguabo,2022,To PR-53,To PR-205,"5,940",./0.png
-65.7412,18.2165,3262,PR-53 NB 18 OFF,DPR53NB18OFF,18.2165,-65.7412,"18.5",Naguabo,2022,To PR-205,To PR-53,"5,687",./0.png
-65.74,18.354,3263,PR-992,D00099200350,18.354,-65.74,"3.8",Luquillo,2022,To PR-990,To PR-3,"1,100",./0.png
-65.7397,18.2165,3264,PR-53 NB 18 OFF SLIP SB,DPR53NB18OFFSLIPSB,18.2165,-65.7397,"18.4",Naguabo,2022,To PR-205,To PR-53,"5,634",./0.png
-65.7396,18.218,3265,PR-53 SB 18 OFF 2,DPR53SB18OFF2,18.218,-65.7396,"18",Naguabo,2022,To PR-205,To PR-53,"1,423",./0.png
-65.7394,18.2165,3266,PR-205,C00020500000,18.2165,-65.7394,"0.3",Naguabo,2021,To PR-53,To PR-31,"6,657",./0.png
-65.7389,18.2173,3267,PR-205 NB 0.2 EXIT,DPR205NB0.2EXIT,18.2173,-65.7389,"0.35",Naguabo,2022,To PR-53,To PR-205,"2,153",./0.png
-65.7387,18.2395,3268,PR-971,C00097100350,18.2395,-65.7387,"4.2",Naguabo,2021,To PR-975,To PR-970,"617",./0.png
-65.7386,18.2143,3269,PR-205 SB TO PR-31 WB,DPR205SBTOPR31WB,18.2143,-65.7386,"0",Naguabo,2022,To PR-31,To PR-205,"1,267",./0.png
-65.7384,18.176,3270,PR-3,C00000307030,18.176,-65.7384,"71",Humacao,2021,To PR-192,To PR-925,"4,326",./0.png
-65.7382,18.2143,3271,PR-31 WB TO PR-205 NB,DPR31WBTOPR205NB,18.2143,-65.7382,"3.7",Naguabo,2022,To PR-205,To PR-31,"5,990",./0.png
-65.7379,18.2176,3272,PR-53 NB 18 ON,DPR53NB18ON,18.2176,-65.7379,"0.3",Naguabo,2022,To PR-53,To PR-205,"2,207",./0.png
-65.7364,18.3546,3273,PR-992,C00099200120,18.3546,-65.7364,"4.2",Luquillo,2021,To PR-991,To PR-990,"1,689",./0.png
-65.7343,18.2544,3274,PR-971,C00097100590,18.2544,-65.7343,"6.4",Naguabo,2021,To PR-975,To PR-970,"297",./0.png
-65.7341,18.3425,3275,PR-9990,C00999000012,18.3425,-65.7341,"2.3",Luquillo,2021,To PR-991,To PR-9991,"339",./0.png
-65.7319,18.3816,3276,PR-3 WB 36.0 ENTR,DPR3WB36.0ENTR,18.3816,-65.7319,"35.85",Luquillo,2022,To PR-3,To PR-193,"1,965",./0.png
-65.7316,18.2238,3277,PR-971,C00097100150,18.2238,-65.7316,"2.1",Naguabo,2021,To PR-970,To PR-972,"3,343",./0.png
-65.7313,18.3812,3278,PR-3 EB 36.0 OFF,DPR3EB36.0OFF,18.3812,-65.7313,"35.9",Luquillo,2022,To PR-193,To PR-3,"697",./0.png
-65.7306,18.2094,3279,PR-971,C00097100000,18.2094,-65.7306,"0.3",Naguabo,2021,To PR-31,To PR-192,"5,079",./0.png
-65.7301,18.3253,3280,PR-988,C00098800630,18.3253,-65.7301,"6.5",Luquillo,2021,To PR-983,To PR-191,"39",./0.png
-65.7288,18.3823,3281,PR-193,D00019300000,18.3823,-65.7288,"0.2",Luquillo,2022,To PR-992,To PR-3,"1,626",./0.png
-65.7281,18.2181,3282,PR-971,C00097100080,18.2181,-65.7281,"1.4",Naguabo,2021,To PR-972,To PR-53,"4,396",./0.png
-65.7281,18.3819,3283,PR-3 EB 36.0 ON,DPR3EB36.0ON,18.3819,-65.7281,"36.25",Luquillo,2022,To PR-3,To PR-193,"367",./0.png
-65.7269,18.3507,3284,PR-9990,C00999000000,18.3507,-65.7269,"0.05",Luquillo,2021,To PR-991,To PR-9991,"459",./0.png
-65.7261,18.2162,3285,PR-53 SB 18 OFF,DPR53SB18OFF,18.2162,-65.7261,"16.8",Naguabo,2022,To PR-971,To PR-53,"1,796",./0.png
-65.7254,18.3495,3286,PR-983,C00098300350,18.3495,-65.7254,"3.7",Luquillo,2021,To PR-991,To PR-9983,"2,532",./0.png
